brand_name_similarity,class_type_similarity,abv_similarity,net_contents_similarity,government_warning_similarity,label
0.909,0.838,0.9373,0.9392,0.9858,Pass
0.9408,0.123,0.9872,0.3058,0.9623,Fail
0.8909,0.2839,0.7379,0.3611,0.8872,Fail
0.9475,0.8846,0.8551,0.9647,0.8645,Pass
0.9661,0.3327,0.8562,0.9492,0.8405,Fail
0.8758,0.9737,0.6321,0.9364,0.9215,Pass
0.9921,0.8689,0.8861,0.8999,0.9739,Pass
0.9647,0.9712,0.3173,0.8804,0.9146,Fail
0.9019,0.9732,0.9198,0.0089,0.9487,Fail
0.9912,0.9588,0.9141,0.9845,0.9998,Pass
0.8749,0.9468,0.9346,0.8942,0.9975,Pass
0.1364,0.6926,0.9685,0.8195,0.9378,Fail
0.9529,0.7415,0.9628,0.0535,0.1646,Fail
0.8984,0.8874,0.3745,0.9924,0.9389,Fail
0.9554,0.0417,0.8888,0.9909,0.7171,Fail
0.9766,0.8384,0.9475,0.9533,0.5369,Fail
0.9997,0.9888,0.9877,0.9186,0.3985,Fail
0.9579,0.1145,0.8874,0.9697,0.9709,Fail
0.2487,0.6501,0.9982,0.8978,0.9904,Fail
0.9477,0.83,0.8753,0.9637,0.7579,Pass
0.9182,0.0926,0.9889,0.985,0.6567,Fail
0.7941,0.9112,0.9748,0.385,0.7351,Fail
0.9083,0.9519,0.8684,0.1717,0.8533,Fail
0.9661,0.8955,0.9545,0.9176,0.9558,Pass
0.7545,0.9199,0.9558,0.9665,0.86,Pass
0.9489,0.9584,0.9528,0.9082,0.9485,Pass
0.9872,0.9523,0.9027,0.9139,0.9405,Pass
0.116,0.9737,0.9923,0.0688,0.9073,Fail
0.973,0.9756,0.4489,0.9946,0.9348,Fail
0.7843,0.8666,0.8085,0.9116,0.9462,Pass
0.8283,0.8927,0.9769,0.8199,0.8853,Pass
0.9538,0.8941,0.9473,0.8457,0.7447,Pass
0.9543,0.8326,0.9149,0.9134,0.9069,Pass
0.9555,0.9274,0.9713,0.9206,0.9724,Pass
0.9358,0.2367,0.9216,0.8564,0.9845,Fail
0.9233,0.9173,0.9379,0.9035,0.9787,Pass
0.9972,0.9597,0.8903,0.9841,0.7632,Pass
0.1078,0.8998,0.8925,0.9465,0.8421,Fail
0.8727,0.1148,0.8853,0.9685,0.7858,Fail
0.9796,0.8712,0.7659,0.8649,0.4222,Fail
0.8314,0.9286,0.9915,0.6162,0.1813,Fail
0.9864,0.939,0.9564,0.9883,0.8643,Pass
0.9548,0.9792,0.8928,0.0159,0.8338,Fail
0.9844,0.8158,0.9126,0.9322,0.6446,Fail
0.8139,0.8748,0.8218,0.8194,0.9645,Pass
0.9057,0.9657,0.9738,0.2122,0.7843,Fail
0.8814,0.9512,0.1963,0.9687,0.8854,Fail
0.8744,0.9132,0.9456,0.9911,0.8028,Pass
0.892,0.9287,0.9112,0.8365,0.0774,Fail
0.9629,0.9635,0.9652,0.8332,0.7539,Pass
0.7145,0.964,0.8137,0.7507,0.0837,Fail
0.9043,0.7979,0.8126,0.7759,0.1299,Fail
0.9956,0.9011,0.8705,0.1229,0.9117,Fail
0.9945,0.955,0.9372,0.9629,0.9424,Pass
0.3731,0.8148,0.8117,0.9777,0.8611,Fail
0.8927,0.866,0.9638,0.3717,0.9455,Fail
0.8412,0.8622,0.9288,0.9503,0.9432,Pass
0.9477,0.9898,0.9988,0.9696,0.316,Fail
0.9079,0.9543,0.8272,0.2058,0.8113,Fail
0.8258,0.9304,0.8906,0.9921,0.8679,Pass
0.8513,0.9763,0.9308,0.3002,0.9363,Fail
0.6739,0.8654,0.9833,0.8332,0.7753,Pass
0.9944,0.9609,0.3282,0.9714,0.9732,Fail
0.917,0.9022,0.9447,0.9005,0.8656,Pass
0.9372,0.8592,0.9395,0.9796,0.8606,Pass
0.9709,0.1241,0.9314,0.9492,0.2829,Fail
0.8353,0.9796,0.7918,0.9166,0.7456,Pass
0.4102,0.8558,0.9697,0.9798,0.9137,Fail
0.9013,0.4722,0.5032,0.8796,0.8956,Fail
0.7305,0.9463,0.704,0.8213,0.9001,Pass
0.9563,0.8293,0.8766,0.9748,0.9039,Pass
0.8241,0.7323,0.719,0.8289,0.877,Pass
0.9764,0.7621,0.9777,0.9997,0.9961,Pass
0.4074,0.9016,0.8709,0.9146,0.8593,Fail
0.9874,0.8989,0.9653,0.9766,0.9664,Pass
0.913,0.9782,0.9742,0.9484,0.7606,Pass
0.9705,0.8962,0.3029,0.6971,0.9938,Fail
0.7956,0.7804,0.885,0.7151,0.8712,Pass
0.7671,0.9039,0.8667,0.9012,0.4328,Fail
0.9838,0.9465,0.9145,0.8673,0.4124,Fail
0.9591,0.9419,0.9755,0.8843,0.9624,Pass
0.9398,0.7638,0.9261,0.9129,0.9687,Pass
0.9742,0.8679,0.8753,0.9284,0.7883,Pass
0.9186,0.0386,0.301,0.9573,0.8579,Fail
0.9592,0.2396,0.8603,0.9099,0.8827,Fail
0.9905,0.8901,0.969,0.8757,0.95,Pass
0.2554,0.939,0.9031,0.9597,0.9681,Fail
0.8949,0.3163,0.9798,0.7377,0.9903,Fail
0.8473,0.9075,0.8298,0.3106,0.8741,Fail
0.9172,0.9451,0.955,0.6746,0.9101,Pass
0.892,0.9423,0.9584,0.7305,0.9762,Pass
0.818,0.8165,0.3547,0.962,0.9427,Fail
0.9966,0.9023,0.6538,0.8374,0.9992,Pass
0.9237,0.3803,0.9411,0.9091,0.9958,Fail
0.9542,0.9951,0.9756,0.2269,0.9452,Fail
0.7561,0.9027,0.9169,0.8927,0.8604,Pass
0.9851,0.9537,0.7494,0.9861,0.8578,Pass
0.9759,0.7588,0.9605,0.7533,0.0276,Fail
0.9903,0.7459,0.9183,0.886,0.9358,Pass
0.794,0.938,0.8903,0.3377,0.9227,Fail
0.8762,0.7364,0.0943,0.9509,0.636,Fail
0.6169,0.8903,0.9477,0.9688,0.8679,Pass
0.9369,0.9404,0.9288,0.1939,0.533,Fail
0.9127,0.9618,0.9095,0.2876,0.9894,Fail
0.7984,0.802,0.367,0.9857,0.9915,Fail
0.8864,0.9905,0.8301,0.8493,0.9297,Pass
0.2964,0.9158,0.2019,0.9878,0.9502,Fail
0.2097,0.9231,0.9098,0.7667,0.7452,Fail
0.0614,0.1018,0.7285,0.9579,0.7729,Fail
0.9501,0.7988,0.9887,0.5258,0.9421,Fail
0.9277,0.6343,0.7405,0.9669,0.9575,Fail
0.9084,0.5075,0.9621,0.2984,0.9877,Fail
0.3868,0.7627,0.8874,0.9837,0.1859,Fail
0.8044,0.0787,0.8919,0.9302,0.7555,Fail
0.933,0.8276,0.8713,0.993,0.9799,Pass
0.9029,0.8785,0.8412,0.2217,0.9515,Fail
0.9623,0.9427,0.7689,0.9805,0.9637,Pass
0.9528,0.9729,0.9201,0.9624,0.7796,Pass
0.9313,0.8965,0.2665,0.4881,0.9325,Fail
0.9776,0.8694,0.8357,0.393,0.7369,Fail
0.9095,0.9467,0.814,0.9414,0.1218,Fail
0.9825,0.7346,0.8646,0.9401,0.9485,Pass
0.9099,0.2705,0.9208,0.9072,0.9942,Fail
0.8777,0.9762,0.9809,0.9682,0.3662,Fail
0.9303,0.9778,0.9191,0.9553,0.8999,Pass
0.5867,0.2376,0.8285,0.9293,0.9663,Fail
0.9315,0.9799,0.8417,0.9747,0.711,Pass
0.3955,0.8818,0.9044,0.304,0.8964,Fail
0.8527,0.8583,0.8701,0.9342,0.9602,Pass
0.9588,0.8687,0.912,0.941,0.9687,Pass
0.9595,0.9467,0.2438,0.8987,0.9313,Fail
0.8131,0.9349,0.7306,0.7054,0.981,Pass
0.7295,0.9634,0.9503,0.8798,0.9676,Pass
0.9173,0.7402,0.878,0.834,0.9863,Pass
0.6311,0.974,0.9902,0.9108,0.896,Fail
0.5697,0.8155,0.2923,0.8815,0.9397,Fail
0.8763,0.8835,0.9488,0.3501,0.8684,Fail
0.2073,0.9001,0.9813,0.07,0.736,Fail
0.9649,0.9285,0.8982,0.9081,0.9856,Pass
0.8286,0.999,0.9703,0.9172,0.9668,Pass
0.4562,0.9575,0.9548,0.0458,0.8592,Fail
0.9426,0.8941,0.7612,0.7124,0.9882,Pass
0.8049,0.8218,0.9849,0.9393,0.0731,Fail
0.9252,0.8954,0.9424,0.97,0.9596,Pass
0.9803,0.9883,0.8318,0.279,0.9761,Fail
0.9859,0.9177,0.8763,0.9127,0.9472,Pass
0.2558,0.8804,0.8933,0.9573,0.897,Fail
0.8629,0.9891,0.9047,0.9956,0.5357,Fail
0.9367,0.9823,0.8811,0.1013,0.8773,Fail
0.825,0.9149,0.1315,0.914,0.9236,Fail
0.9267,0.9357,0.9012,0.948,0.812,Pass
0.7631,0.9917,0.9188,0.8847,0.9987,Pass
0.9524,0.0422,0.9552,0.9375,0.9884,Fail
0.8921,0.9325,0.9378,0.3472,0.9731,Fail
0.8054,0.3873,0.9055,0.9129,0.768,Fail
0.9746,0.3019,0.9516,0.9928,0.9373,Fail
0.8282,0.8716,0.903,0.7917,0.2954,Fail
0.9589,0.9138,0.1177,0.8691,0.8431,Fail
0.9866,0.9134,0.8431,0.7652,0.985,Pass
0.9256,0.9911,0.9915,0.8118,0.9828,Pass
0.6169,0.6995,0.9387,0.9843,0.945,Pass
0.3047,0.7295,0.2992,0.995,0.9987,Fail
0.8189,0.9717,0.8934,0.903,0.9522,Pass
0.9925,0.9589,0.9226,0.9509,0.9183,Pass
0.8228,0.9071,0.9453,0.8246,0.8654,Pass
0.9408,0.9599,0.9832,0.8218,0.9186,Pass
0.1723,0.9824,0.998,0.9194,0.9797,Fail
0.2489,0.9926,0.9539,0.9776,0.9498,Fail
0.9669,0.1163,0.9791,0.9713,0.9435,Fail
0.807,0.9844,0.9828,0.8241,0.9808,Pass
0.9219,0.9275,0.8583,0.9687,0.1192,Fail
0.9021,0.905,0.822,0.9438,0.9409,Pass
0.8975,0.926,0.9565,0.9138,0.9812,Pass
0.8672,0.9901,0.9258,0.9319,0.9431,Pass
0.8649,0.8951,0.9597,0.9432,0.9771,Pass
0.9774,0.9495,0.9786,0.7781,0.9328,Pass
0.9612,0.9232,0.5998,0.3011,0.844,Fail
0.2124,0.9803,0.9276,0.993,0.0973,Fail
0.9818,0.8048,0.776,0.9464,0.944,Pass
0.9556,0.9809,0.9449,0.8651,0.9159,Pass
0.9073,0.9554,0.8453,0.9601,0.8437,Pass
0.8812,0.3456,0.9427,0.8393,0.7637,Fail
0.9685,0.9133,0.9962,0.8832,0.8557,Pass
0.2542,0.9794,0.3032,0.9782,0.8377,Fail
0.7743,0.9246,0.9089,0.8805,0.939,Pass
0.9939,0.1457,0.781,0.8308,0.8304,Fail
0.4064,0.9414,0.9819,0.9658,0.9579,Fail
0.9869,0.9403,0.8282,0.9494,0.1812,Fail
0.756,0.9376,0.9176,0.4644,0.4156,Fail
0.9145,0.9466,0.924,0.6927,0.9625,Pass
0.0962,0.8718,0.9698,0.7808,0.9689,Fail
0.9538,0.9011,0.765,0.9712,0.1658,Fail
0.9694,0.8606,0.2969,0.1693,0.911,Fail
0.9251,0.9354,0.7708,0.9809,0.1996,Fail
0.8683,0.9889,0.8964,0.8313,0.9852,Pass
0.9394,0.953,0.7551,0.8335,0.9725,Pass
0.9992,0.8681,0.9696,0.9435,0.9301,Pass
0.8487,0.3567,0.9591,0.9576,0.9575,Fail
0.9696,0.9554,0.9863,0.9771,0.9622,Pass
0.9903,0.7908,0.9056,0.8716,0.9431,Pass
0.9199,0.8153,0.9826,0.8898,0.0224,Fail
0.8424,0.9979,0.5651,0.9961,0.7268,Pass
0.937,0.841,0.9684,0.9275,0.7412,Pass
0.8953,0.9984,0.9247,0.973,0.9815,Pass
0.9889,0.7907,0.9906,0.9806,0.8511,Pass
0.8782,0.8015,0.9764,0.9383,0.5127,Fail
0.872,0.9234,0.9432,0.9615,0.9648,Pass
0.7723,0.664,0.9664,0.9848,0.9291,Pass
0.9235,0.4881,0.8205,0.9436,0.8744,Fail
0.8452,0.3211,0.9677,0.778,0.862,Fail
0.9759,0.2975,0.9541,0.934,0.9485,Fail
0.8486,0.9679,0.0677,0.9104,0.9727,Fail
0.8784,0.4066,0.4188,0.632,0.9278,Fail
0.9937,0.9515,0.9828,0.9797,0.0763,Fail
0.9502,0.7459,0.3703,0.924,0.1152,Fail
0.3995,0.9238,0.6035,0.9772,0.8422,Fail
0.739,0.3416,0.9657,0.9982,0.9069,Fail
0.8569,0.9637,0.8084,0.9836,0.9873,Pass
0.0518,0.9533,0.9647,0.2004,0.9648,Fail
0.3347,0.9551,0.9668,0.792,0.963,Fail
0.9518,0.5346,0.8784,0.8239,0.8085,Fail
0.9682,0.928,0.9015,0.8001,0.9356,Pass
0.8457,0.079,0.9733,0.4138,0.9612,Fail
0.9402,0.9693,0.8997,0.9458,0.2754,Fail
0.9306,0.9556,0.9392,0.8501,0.708,Pass
0.771,0.0938,0.8642,0.2847,0.9818,Fail
0.9518,0.8946,0.9717,0.7994,0.8773,Pass
0.9403,0.7794,0.9669,0.8948,0.9831,Pass
0.0962,0.8241,0.8711,0.7677,0.8715,Fail
0.7797,0.9236,0.7727,0.8252,0.9044,Pass
0.9799,0.8989,0.4022,0.983,0.9606,Fail
0.9347,0.9458,0.852,0.099,0.8841,Fail
0.9992,0.9906,0.997,0.9659,0.7552,Pass
0.8954,0.9789,0.7514,0.9992,0.9167,Pass
0.8665,0.9531,0.2688,0.8905,0.989,Fail
0.9467,0.9579,0.9228,0.9671,0.9721,Pass
0.8342,0.9755,0.8067,0.9838,0.8716,Pass
0.7291,0.8579,0.8397,0.9809,0.9414,Pass
0.9278,0.9866,0.9599,0.4129,0.8212,Fail
0.6941,0.7236,0.6714,0.937,0.7735,Fail
0.953,0.8211,0.9727,0.9533,0.8877,Pass
0.3258,0.918,0.9612,0.9895,0.9408,Fail
0.8154,0.8682,0.9265,0.3408,0.9099,Fail
0.8758,0.8119,0.9799,0.8747,0.1258,Fail
0.2908,1.0,0.9543,0.9509,0.3592,Fail
0.8214,0.9405,0.9062,0.9954,0.9539,Pass
0.9051,0.9261,0.9257,0.7891,0.8176,Pass
0.7032,0.9732,0.7355,0.9699,0.8032,Pass
0.9288,0.9638,0.9707,0.3688,0.7727,Fail
0.9766,0.3328,0.9467,0.9871,0.9867,Fail
0.168,0.9353,0.9321,0.889,0.2143,Fail
0.9939,0.1683,0.8651,0.8493,0.9192,Fail
0.9931,0.8529,0.8144,0.9501,0.8858,Pass
0.9067,0.9382,0.8217,0.8756,0.9976,Pass
0.8151,0.8105,0.9664,0.7798,0.9695,Pass
0.8308,0.9921,0.2356,0.9945,0.9389,Fail
0.8074,0.9178,0.9598,0.9826,0.9533,Pass
0.9377,0.1949,0.9965,0.8587,0.7769,Fail
0.901,0.2845,0.9127,0.9712,0.9736,Fail
0.8625,0.1057,0.9003,0.9864,0.911,Fail
0.6596,0.2573,0.9366,0.9535,0.7135,Fail
0.9861,0.9422,0.4335,0.8722,0.9495,Fail
0.9757,0.8191,0.9396,0.9178,0.9849,Pass
0.9319,0.957,0.9905,0.8549,0.8717,Pass
0.9632,0.9089,0.39,0.8873,0.8607,Fail
0.9318,0.9311,0.9795,0.8085,0.9458,Pass
0.9505,0.8055,0.9491,0.8226,0.8308,Pass
0.8142,0.9486,0.6843,0.7861,0.9743,Pass
0.9673,0.9848,0.9857,0.9978,0.8213,Pass
0.9532,0.8132,0.8978,0.9968,0.8864,Pass
0.8628,0.9707,0.9785,0.8863,0.9617,Pass
0.8129,0.9626,0.8907,0.9076,0.9652,Pass
0.9512,0.894,0.9459,0.887,0.4425,Fail
0.8861,0.1227,0.0642,0.9742,0.8756,Fail
0.8629,0.3495,0.9658,0.99,0.9459,Fail
0.9133,0.9361,0.8397,0.9093,0.997,Pass
0.9395,0.4595,0.9292,0.9382,0.9966,Fail
0.6116,0.9878,0.9869,0.8892,0.9994,Pass
0.8122,0.9855,0.9189,0.9929,0.9333,Pass
0.9519,0.8671,0.9944,0.9652,0.8109,Pass
0.9351,0.5685,0.9425,0.7606,0.9823,Fail
0.9377,0.9337,0.9165,0.9397,0.9577,Pass
0.9739,0.9577,0.7623,0.1981,0.7536,Fail
0.9466,0.206,0.3904,0.981,0.9302,Fail
0.9448,0.8738,0.6849,0.622,0.8234,Pass
0.8937,0.6275,0.9194,0.9944,0.1999,Fail
0.9462,0.9788,0.9472,0.9291,0.8552,Pass
0.7361,0.4594,0.1044,0.8895,0.9215,Fail
0.9346,0.8384,0.9973,0.9088,0.8049,Pass
0.9014,0.9488,0.8832,0.9008,0.9863,Pass
0.9774,0.446,0.9465,0.9243,0.1105,Fail
0.9885,0.8639,0.8872,0.9683,0.9625,Pass
0.4254,0.9686,0.7463,0.2994,0.7536,Fail
0.9504,0.8948,0.8759,0.9493,0.8481,Pass
0.9406,0.0638,0.875,0.9605,0.8894,Fail
0.8902,0.931,0.9007,0.9498,0.9559,Pass
0.7921,0.6461,0.9436,0.8112,0.963,Fail
0.9843,0.9238,0.8913,0.3848,0.8577,Fail
0.8736,0.9551,0.9281,0.9042,0.9203,Pass
0.9756,0.9269,0.9545,0.9778,0.8998,Pass
0.2247,0.9517,0.394,0.9257,0.9389,Fail
0.9706,0.9793,0.9915,0.9575,0.9104,Pass
0.8902,0.1267,0.8091,0.9554,0.9479,Fail
0.9076,0.9034,0.9109,0.9174,0.8595,Pass
0.7994,0.9117,0.9371,0.968,0.8126,Pass
0.8996,0.9847,0.9938,0.9255,0.9598,Pass
0.9395,0.9502,0.9371,0.9655,0.927,Pass
0.1143,0.9976,0.9384,0.8951,0.9569,Fail
0.9917,0.9584,0.7427,0.8805,0.9634,Pass
0.9932,0.3548,0.9665,0.8516,0.9552,Fail
0.9099,0.737,0.9542,0.3125,0.9433,Fail
0.9072,0.9463,0.9225,0.7566,0.9927,Pass
0.9713,0.7273,0.8419,0.8727,0.9926,Pass
0.9788,0.9107,0.51,0.8952,0.8143,Fail
0.9639,0.9114,0.2044,0.9728,0.8697,Fail
0.9835,0.9437,0.7562,0.8462,0.7887,Pass
0.9615,0.8884,0.9346,0.7977,0.9417,Pass
0.8692,0.1711,0.9583,0.8903,0.8251,Fail
0.9451,0.9584,0.4742,0.7238,0.9067,Fail
0.811,0.8388,0.8663,0.8206,0.8677,Pass
0.8784,0.9374,0.7417,0.9657,0.8386,Pass
0.9337,0.6492,0.9676,0.9676,0.974,Pass
0.9513,0.8324,0.9217,0.8471,0.9911,Pass
0.6521,0.822,0.9673,0.9494,0.9854,Fail
0.7246,0.9686,0.8268,0.9465,0.9851,Pass
